Date,Open,High,Low,Close,Volume
2025-06-16,3309.7650089781714,3376.152737355931,3296.487416323079,3363.93359375,1934088
2025-06-17,3377.114961112031,3386.736371257649,3356.04416685221,3382.21435546875,2111940
2025-06-18,3385.8705329382847,3404.0549041256045,3312.747815947458,3320.7333984375,2696327
2025-06-19,3319.386516107577,3320.3486571267385,3283.787298398597,3294.370849609375,2672768
2025-06-20,3295.332824141505,3315.826473793808,3281.7665424976394,3305.627685546875,2351248
2025-06-23,3285.7117955112253,3295.3332063326347,3242.415446814884,3265.1220703125,3123421
2025-06-24,3304.569544364703,3311.785601803136,3253.9608342374113,3262.042724609375,3403048
2025-06-25,3278.3030139670477,3319.3863869066126,3271.2793378210094,3314.38330078125,1757699
2025-06-26,3314.3834934254055,3320.7334833351697,3286.000332815166,3311.4970703125,2879106
2025-06-27,3324.1971522580116,3335.1654656898822,3301.105768277059,3310.823486328125,1778433
2025-06-30,3309.6687189307536,3333.7222438362,3300.143617027278,3330.93212890625,1468351
2025-07-01,3324.1971950415045,3353.0614253891877,3284.268343060543,3299.85498046875,2375183
2025-07-02,3355.1779803217332,3357.7757139896216,3290.5221534097136,3293.697265625,3090585
2025-07-03,3300.1437879715377,3305.243182495177,3268.9705120384147,3272.04931640625,2531870
2025-07-04,3278.9765232213795,3297.257202194738,3261.7542933055606,3290.329833984375,1109320
2025-07-07,3288.8868460752856,3296.3915933540857,3279.361508602982,3282.53662109375,1639174
2025-07-08,3276.090106685197,3295.3329266950955,3264.929177120374,3277.24462890625,2325242
2025-07-09,3280.9006731219124,3284.749236961352,3239.528611847941,3255.692626953125,2034938
2025-07-10,3252.036411459103,3270.317089511684,3228.945028655843,3253.960693359375,3035012
2025-07-11,3174.968778671878,3208.740019462478,3137.6378982976325,3142.352294921875,7635550
2025-07-14,3142.3526487027184,3148.125494964879,3078.8513398189525,3100.69189453125,3924009
2025-07-15,3084.6237277539685,3136.0019578941046,3084.6237277539685,3129.1708984375,2590889
2025-07-16,3115.365810708297,3132.6464874286985,3109.187305299685,3121.2548828125,2540733
2025-07-17,3112.5663349360093,3129.8470122556437,3093.2582102459683,3098.181640625,2947640
2025-07-18,3113.434923384125,3117.103513998714,3076.749488627971,3079.549072265625,3432645
2025-07-21,3079.645764950135,3086.982946316993,3042.960329505588,3048.94580078125,3844346
2025-07-22,3050.29736328125,3070.088189339792,3045.4703325352643,3050.29736328125,3198036
2025-07-23,3050.2976253482652,3071.9226306702544,3048.366812883985,3069.123046875,1922875
2025-07-24,3055.6071726498794,3063.909524321329,3031.37538342797,3039.0986328125,2934778
2025-07-25,3031.375459671135,3047.6907301283586,3017.47370470728,3027.32080078125,2568917
2025-07-28,3002.413560717978,3010.136811034937,2963.7006742262606,2972.775634765625,3374473
2025-07-29,2954.1428746727747,2967.658561027487,2935.99319157176,2950.28125,4785312
2025-07-30,2954.1431052901985,2962.8317614822286,2941.785858233668,2947.964599609375,2880121
2025-07-31,2936.47600158721,2953.9499481457733,2910.6997030967705,2931.74560546875,2968371
2025-08-01,2925.084324273871,2931.745768865168,2896.218771462912,2899.114990234375,2053847
2025-08-04,2905.0038424767117,2972.8717086542492,2888.1092342571515,2968.044677734375,2519252
2025-08-05,2968.044724074376,2971.0375775693733,2936.7656575031788,2957.907958984375,1927996
2025-08-06,2957.0392913988153,2960.707882222844,2921.3192607812002,2927.4013671875,1487081
2025-08-07,2911.665180402855,2946.0337363593026,2906.741514367591,2941.5927734375,2543076
2025-08-08,2942.6545713366527,2953.94977611907,2920.353595060068,2931.359130859375,2762140
2025-08-11,2931.3592490987544,2944.3922326106717,2916.78175710605,2935.607177734375,1884215
2025-08-12,2935.8001676667204,2989.2835752923374,2922.187846369997,2930.393798828125,3358232
2025-08-13,2931.0698605624675,2939.0825434733065,2923.8293140563796,2931.166259765625,2148166
2025-08-14,2929.0422751905776,2950.1845757137776,2914.6578177545016,2917.7470703125,3342174
2025-08-18,2941.109890727772,2943.523406147703,2899.500790610218,2907.031005859375,2945609
2025-08-19,2907.0308795261603,2920.3535312041786,2906.9344803304716,2911.85791015625,2650784
2025-08-20,2906.741403418293,2996.0414760002127,2906.741403418293,2991.40771484375,4952358
2025-08-21,3021.721568272579,3021.721568272579,2976.444109339037,2995.26953125,3230726
2025-08-22,2979.2435848733217,2988.6079780367672,2944.4889610705222,2948.3505859375,1593791
2025-08-25,2980.4988759076773,3042.960615514831,2970.6517789228456,3031.955078125,3448370
2025-08-26,3020.756060501902,3052.6144657420946,3012.067404527304,3047.98046875,5522097
2025-08-28,3036.2026334864163,3037.6507428505593,2979.7263682848406,2986.67724609375,3116051
2025-08-29,2986.001444170926,3007.2403810515466,2970.747978726777,2977.988525390625,2271789
2025-09-01,2983.105066117822,3022.7833539936464,2983.105066117822,3004.92333984375,1246862
2025-09-02,3013.1295666219185,3045.856744495596,2995.752253975034,3003.861572265625,2185229
2025-09-03,3021.6247697126682,3033.2096441073413,2981.1743442292172,2990.345703125,1799774
2025-09-04,3008.205703050011,3010.136515439645,2983.877514079595,2988.60791015625,1481391
2025-09-05,2989.959772231462,2996.041643012066,2923.8294445249576,2942.847900390625,2802055
2025-09-08,2944.4888711015133,2958.8733290135365,2911.6650607351357,2914.561279296875,2626187
2025-09-09,2927.2083287202117,2954.1430683002914,2925.953253480324,2943.90966796875,2489301
2025-09-10,2950.667462651561,3014.6739418754814,2947.7712440051832,3002.413330078125,2079428
2025-09-11,3030.4101295308183,3030.4101295308183,3002.5099840051885,3016.1220703125,2263446
2025-09-12,3035.237062003493,3039.774423958481,3013.0327196287853,3025.003662109375,1447167
2025-09-15,3025.583130595429,3025.583130595429,2988.8976937854013,3004.24755859375,1732539
2025-09-16,3019.790531578054,3041.0294675418386,3001.5444490507502,3036.878173828125,2573429
2025-09-17,3042.960518364833,3072.3087742640014,3033.692524030945,3063.041015625,2418271
2025-09-18,3074.8188270106057,3092.1961390627853,3052.035145819797,3066.805908203125,2633138
2025-09-19,3060.337557621526,3070.474322402291,3035.2369972120114,3059.565185546875,4901694
2025-09-22,2987.932385962669,2999.4206262220173,2958.970198053499,2967.4658203125,3634901
2025-09-23,2963.79714260431,2974.126942183857,2946.419830367542,2956.4599609375,3177741
2025-09-24,2944.4888232106205,2951.2466664114318,2928.0769182943645,2930.393798828125,1625714
2025-09-25,2917.457621779319,2924.7948033919906,2848.9137795733855,2855.09228515625,4974361
2025-09-26,2839.2595057026215,2852.5821577986485,2791.278866873073,2798.80908203125,3934636
