Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,EMA_20,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Volume_SMA_20
2025-06-16,1648.826584396991,1673.385731425313,1639.6168740402327,1668.929443359375,2249326,,,,,,,,
2025-06-17,1663.680866088227,1665.3643043250918,1625.158707571536,1634.1702880859375,5408285,,,,,,,,
2025-06-18,1629.0208405429876,1645.162554368449,1622.583980078836,1631.99169921875,1455885,,,,,,,,
2025-06-19,1632.0907241735367,1639.2208576156945,1620.1082848742983,1631.5955810546875,1696525,,,,,,,,
2025-06-20,1631.5956492951518,1653.7780861242686,1629.615076736919,1648.9256591796875,2567882,,,,,,,,
2025-06-23,1647.0441041955196,1650.807240439967,1631.1995236034145,1646.3509521484375,840643,,,,,,,,
2025-06-24,1654.2731610004405,1670.0187363655616,1642.6868603667087,1645.55859375,2066326,,,,,,,,
2025-06-25,1645.5586721758584,1662.492664364672,1641.993665725155,1653.3819580078125,1372945,,,,,,,,
2025-06-26,1658.5313870874484,1662.5915363574031,1634.368379470665,1653.5799560546875,2102627,,,,,,,,
2025-06-27,1653.9760265300536,1679.228325601745,1651.9954540538424,1671.20703125,5313904,,,,,,,,
2025-06-30,1679.5254664889774,1687.9428995462629,1655.3624580064477,1659.422607421875,2160184,,,,,,,,
2025-07-01,1659.422559768689,1667.9391179132515,1641.3993990350646,1651.005126953125,3298070,,,,,,,,
2025-07-02,1639.9139251117736,1665.6613659649777,1639.9139251117736,1661.205078125,1611046,,,,,,,,
2025-07-03,1661.205085725382,1676.3565128044447,1658.2342271518046,1663.3836669921875,1553777,,,,47.61492270587705,,,,
2025-07-04,1670.315848553093,1670.315848553093,1655.36254964748,1660.0169677734375,1264399,,,,46.27487675781469,,,,
2025-07-07,1663.891593016956,1671.5419707006272,1652.267152244763,1669.05810546875,1550620,,,,50.31853504727524,,,,
2025-07-08,1669.1575287275784,1671.1446210236827,1638.45692849627,1661.7059326171875,1860328,,,,47.2069593920379,,,,
2025-07-09,1649.2866184425322,1669.9524269938445,1636.3705184185849,1658.6259765625,2178705,,,,45.925744218699876,,,,
2025-07-10,1651.273612693844,1659.818084868856,1636.569081949883,1651.7703857421875,1741718,,,,43.12041382448583,,,,
2025-07-11,1655.0491690372774,1669.0581450205405,1651.4723059926273,1661.2091064453125,1298302,,,1654.1547058105468,47.844131430819985,,,,2179574.85
2025-07-14,1669.554969645884,1685.948481071095,1664.686569269172,1671.74072265625,1309704,,,1655.8295645577566,52.57659029122324,,,,2132593.75
2025-07-15,1693.9961640596734,1719.7290332716816,1677.0065493687105,1716.3509521484375,3332578,,,1661.5935062330595,66.45942798944832,,,,2028808.4
2025-07-16,1718.834810520466,1720.126469006684,1687.0413342565037,1690.02197265625,2285143,,,1664.3009792257444,56.033444300108556,,,,2070271.3
2025-07-17,1693.0025975593248,1705.918697188592,1685.054228556699,1692.406494140625,1461039,,,1666.9776949319237,56.69602698515228,,,,2058497.0
2025-07-18,1697.9703121766654,1698.3677548795465,1675.81418527775,1682.669677734375,1253929,,,1668.472169484538,53.172290437790124,,,,1992799.35
2025-07-21,1670.250384339653,1690.4194194057986,1666.6736425079068,1681.378173828125,2390289,,,1669.701312755356,52.70438191561359,14.65368117086473,,,2070281.65
2025-07-22,1675.2181095721396,1682.172932498894,1662.0040187807986,1667.17041015625,1244491,,,1669.4602744125839,47.72852084416562,12.794350814449444,,,2029189.9
2025-07-23,1667.6671729168602,1678.6955106617793,1660.613019676956,1671.641357421875,1229173,,,1669.6679966039449,49.34908895653648,11.548462700960954,,,2022001.3
2025-07-24,1671.6413897430923,1685.054262706856,1669.2568547374815,1681.080078125,1079045,,,1670.7548615107119,52.684176036387306,11.193679503451904,,,1970822.2
2025-07-25,1679.092996742109,1691.0155505651303,1671.34328824415,1688.034912109375,1088592,,,1672.4005806153464,55.0336254879585,11.342953732037813,,,1759556.6
2025-07-28,1691.1147809753018,1699.0631497208833,1682.9677515240733,1691.214111328125,2168507,,,1674.1923454451348,56.1065642457306,11.58425337892686,,,1759972.75
2025-07-29,1687.0413664567195,1706.9122895009684,1686.1471506632306,1699.460693359375,1325544,,,1676.5988547703005,58.84942577895172,12.29913852494883,,,1661346.45
2025-07-30,1708.8993662735888,1729.2670622088262,1701.050327485951,1722.6103515625,2318723,,,1680.9809020838434,65.38804087283353,14.565768982908594,,,1696730.3
2025-07-31,1704.4284353742569,1736.7186855343634,1683.0671929606474,1695.6851806640625,3233087,,,1682.381309567674,54.534326352814034,14.02775050670084,1.3599683605619557,12.667782146138885,1780695.8
2025-08-01,1679.0930108845346,1684.0607416859682,1597.6222257410243,1619.18212890625,8774548,,,1676.3623399808716,36.16555304969711,7.343558107262879,-4.259379231100805,11.602937338363684,2156203.25
2025-08-04,1619.2814778451302,1636.7678649006018,1603.1859582998518,1631.0052490234375,1898762,,,1672.0426170325445,39.554111584021825,2.9661228394757018,-6.909451599110387,9.875574438586089,2173610.35
2025-08-05,1630.3099050410478,1633.9859772903794,1609.644096566861,1621.566650390625,1622897,,,1667.2353821142665,37.827754793958285,-1.2502302993220837,-8.900643790326537,7.650413491004454,2161738.8
2025-08-06,1619.1821276597536,1619.1821276597536,1580.7319397992544,1584.90478515625,2376257,,,1659.3943728801698,31.987737106101253,-7.463986477483559,-12.091519974790412,4.627533497306852,2171616.4
2025-08-07,1570.7963800929167,1595.038929127571,1560.860919118262,1588.0841064453125,3435674,,,1652.602918933993,32.9544074068037,-11.99363322104682,-13.296933374682938,1.3033001536361177,2256314.2
2025-08-08,1579.7382938387532,1591.6608469998002,1570.6970486147889,1576.6583251953125,1654424,,,1645.37010048269,31.236162764182215,-16.317280504795235,-14.096464526745082,-2.220815978050153,2274120.3
2025-08-11,1576.6584110765473,1649.2866104488512,1573.9757636996972,1598.0196533203125,1140902,,,1640.8605340862732,37.769047146202404,-17.814763962093366,-12.47515838723457,-5.339605574858796,2265680.2
