Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,EMA_20,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Volume_SMA_20
2025-06-16,1826.827881095153,1854.4965978631628,1823.5553126750672,1845.8687744140625,5722187,,,,,,,,
2025-06-17,1863.4219260072807,1863.4219260072807,1832.2822272471276,1839.422607421875,6561555,,,,,,,,
2025-06-18,1832.2823329288224,1855.4883579832408,1827.8196404590603,1850.4306640625,5069427,,,,,,,,
2025-06-19,1856.4800514867477,1863.4220174912384,1848.6455227843087,1861.4385986328125,4712312,,,,,,,,
2025-06-20,1864.4136798927684,1932.8416287824496,1858.4634234675789,1920.6435546875,16228526,,,,,,,,
2025-06-23,1913.9991306359725,1932.8416091240983,1911.1231491813928,1920.2469482421875,2946463,,,,,,,,
2025-06-24,1934.7259575561889,1946.725617486964,1913.1066434878355,1917.5693359375,6837210,,,,,,,,
2025-06-25,1925.899637658096,1953.6675006109413,1921.9328000934036,1949.303955078125,4152765,,,,,,,,
2025-06-26,1953.66756587694,2001.6663262248617,1949.9982894303305,1997.600341796875,9413241,,,,,,,,
2025-06-27,1993.3358611340727,2022.095433259888,1991.9474437853096,2010.2940673828125,6405854,,,,,,,,
2025-06-30,2001.2695922519852,2007.1207019910375,1983.6171163053416,1992.939208984375,5597484,,,,,,,,
2025-07-01,1992.344157154796,2013.9634702002927,1990.261591655139,2002.657958984375,3769165,,,,,,,,
2025-07-02,2020.11202533933,2028.839116385608,2001.567108188833,2016.4427490234373,6513288,,,,,,,,
2025-07-03,2024.8722993688675,2027.9465742942143,1996.2118735251584,2002.558837890625,5558647,,,,82.88928529883377,,,,
2025-07-04,2010.1949970414344,2019.6162365440955,1988.476536502592,2000.4761962890625,2178315,,,,82.17087028261635,,,,
2025-07-07,2001.2696375863968,2019.1204073963845,1993.930963563968,2017.037841796875,4165432,,,,83.40279876057203,,,,
2025-07-08,2009.2032064202967,2018.1285908515815,1998.096109773564,2013.1700439453125,3624619,,,,81.97818022662524,,,,
2025-07-09,2018.128646712418,2023.7813419187191,1981.931253294726,2002.9554443359373,2937734,,,,78.18016408166554,,,,
2025-07-10,2011.7816836964876,2011.7816836964876,1946.0314224882568,1948.213134765625,5695845,,,,61.68596152901597,,,,
2025-07-11,1925.8996432020544,1942.8578496282755,1898.3300736247704,1905.96630859375,13103980,,,1950.7618286132813,52.48333450507054,,,,6059702.45
2025-07-14,1899.1234997073277,1911.5198671988896,1884.4461521740072,1904.974609375,5269381,,,1946.401141066778,52.28614550899752,,,,6037062.15
2025-07-15,1908.8423349640332,1926.8913979367328,1907.2555030496296,1918.164306640625,4163140,,,1943.7119187404778,54.722727622230686,,,,5917141.4
2025-07-16,1927.883107494428,1927.883107494428,1912.809172772721,1920.54443359375,4211258,,,1941.5054915836465,55.16764369323143,,,,5874232.95
2025-07-17,1927.585541707482,1928.7756656405693,1911.61904433602,1913.9000244140625,6256455,,,1938.8763994722576,53.58465006471646,,,,5951440.1
2025-07-18,1915.0999755859373,1916.0,1891.800048828125,1901.0,4643961,,,1935.2691233320427,50.551804864915546,,,,5372211.85
2025-07-21,1894.800048828125,1919.9000244140625,1892.5999755859373,1909.199951171875,5109654,,,1932.7863450310745,52.39621192358738,-11.729779392687306,,,5480371.4
