Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,EMA_20,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Volume_SMA_20
2025-06-16,1542.4964798976407,1576.0458254086714,1539.700681491198,1565.441162109375,5591842,,,,,,,,
2025-06-17,1562.45249586964,1588.192976732241,1557.5358118299073,1580.9625244140625,7622083,,,,,,,,
2025-06-18,1562.741770047165,1585.589952431105,1562.741770047165,1574.214111328125,5629707,,,,,,,,
2025-06-19,1565.5375611980423,1571.4183055533615,1553.5831898154863,1560.2352294921875,5147760,,,,,,,,
2025-06-20,1560.8136276168789,1572.0930860674746,1551.076642111549,1564.573486328125,9202821,,,,,,,,
2025-06-23,1543.4605584963404,1543.4605584963404,1518.7806380620095,1527.071533203125,7943676,,,,,,,,
2025-06-24,1543.4604830931148,1551.172965207259,1519.9373891083474,1524.7576904296875,8083992,,,,,,,,
2025-06-25,1532.8558375256184,1561.6812632899291,1528.1319186406413,1556.8609619140625,7813533,,,,,,,,
2025-06-26,1550.9801998907828,1565.6338688312192,1548.859196699971,1557.92138671875,6519233,,,,,,,,
2025-06-27,1560.8136478253264,1571.0326636135578,1544.8102701550988,1550.208984375,8912268,,,,,,,,
2025-06-30,1556.9573602116636,1556.9573602116636,1536.8084767193552,1544.2318115234375,6294505,,,,,,,,
2025-07-01,1551.1731318297038,1559.560409956517,1542.9786187031953,1549.05224609375,4178937,,,,,,,,
2025-07-02,1559.8495930029494,1589.735462831807,1545.7743359105034,1552.619140625,8653641,,,,,,,,
2025-07-03,1560.331649069145,1573.7321112354073,1556.9574379034102,1560.5244140625,5259695,,,,48.28742718653003,,,,
2025-07-04,1566.5979433677658,1584.3366759246808,1554.3544249759318,1581.733642578125,4411273,,,,54.944372658732036,,,,
2025-07-07,1581.0590301119776,1584.915271648836,1564.670003580329,1568.5262451171875,3294523,,,,50.57802992091928,,,,
2025-07-08,1569.490144015709,1587.035994129852,1563.2237521630664,1579.8055419921875,4590681,,,,53.94414468864096,,,,
2025-07-09,1578.9380931561673,1579.1308581535004,1565.2483655342028,1574.9853515625,4580828,,,,52.304628023534455,,,,
2025-07-10,1579.9985303020203,1579.9985303020203,1549.3413641152465,1557.728759765625,5330179,,,,46.81851589124068,,,,
2025-07-11,1522.3475129338776,1549.341199857552,1506.826166489392,1537.5797119140625,11391755,,,1558.4516967773438,41.36316699403842,,,,6522646.6
2025-07-14,1534.5911874414394,1534.5911874414394,1503.7412587495296,1513.8638916015625,9173426,,,1554.2052391415552,36.04012936959726,,,,6701725.8
2025-07-15,1508.8507771918205,1545.967099361679,1507.790334380739,1528.614013671875,7614807,,,1551.7679795730144,41.11572733115848,,,,6701362.0
2025-07-16,1522.2513030563432,1554.0652948238287,1521.769272878048,1550.1126708984375,6223491,,,1551.6103311278166,47.63796417474837,,,,6731051.2
2025-07-17,1540.5684750083872,1552.1371994765352,1523.3117708067696,1526.589599609375,7374814,,,1549.2274043165364,42.138238808735515,,,,6842403.9
2025-07-18,1534.8803087969368,1541.821613244393,1523.2152032454187,1529.095947265625,5161833,,,1547.31012269264,42.89471640902681,,,,6640354.5
2025-07-21,1523.2153333190531,1531.8918763569468,1510.4897839367352,1527.36083984375,3682661,,,1545.4101909927458,42.48065442218089,-10.867000309486002,,,6427303.75
2025-07-22,1508.7544033781517,1528.806905141675,1508.7544033781517,1514.4423828125,8473741,,,1542.4608759279606,39.42892869509516,-12.168716508722582,,,6446791.2
2025-07-23,1519.648319505044,1534.6876368616054,1494.2934861823694,1517.9129638671875,8035026,,,1540.1229795412205,40.66220930340801,-12.77304932702441,,,6457865.85
2025-07-24,1523.21527148752,1525.14339208434,1492.558106924831,1496.70361328125,14169664,,,1535.9878018021757,35.85731072407676,-14.792881646486421,,,6840387.4
2025-07-25,1487.930738061539,1493.8114825426642,1456.9844249801497,1461.2261962890625,10851259,,,1528.8676488961648,29.56416036829642,-19.036898846051372,,,6937336.95
2025-07-28,1459.4908778130184,1464.6968268487494,1429.2193615593824,1461.515380859375,6439855,,,1522.4531471783753,29.672508973582275,-22.12196997575893,,,6944604.45
2025-07-29,1458.5267960319763,1462.6721845547067,1442.3305365336291,1459.2979736328125,7070448,,,1516.4383687454645,29.300325487916,-24.46383346040352,,,7089180.0
2025-07-30,1465.2753927209724,1467.0106307922656,1451.8749299240865,1464.40771484375,5719051,,,1511.4830683738728,31.434579483341885,-25.612221980430377,,,6942450.5
2025-07-31,1455.4418850255531,1472.21655890233,1443.198365471235,1454.76708984375,6851407,,,1506.0815466090992,29.617917311047755,-26.98913210887963,-8.230720535185938,-18.758411573693692,7022036.1
2025-08-01,1440.2096707795008,1444.837089497394,1412.83033538686,1416.782958984375,8702978,,,1497.5769192162682,23.785371657842244,-30.79041251044805,-9.625600749403485,-21.164811761044565,7236621.35
2025-08-04,1408.9741142502269,1429.5086455065348,1398.8514812022438,1427.291259765625,8610216,,,1490.8830468876354,28.009102211439266,-32.57946675123026,-9.131723992148551,-23.447742759081706,7502406.0
2025-08-05,1425.5558755811649,1425.5558755811649,1402.7076942328947,1407.8172607421875,10213323,,,1482.972019635688,25.219734835209835,-35.163352853413926,-9.372488075465775,-25.79086477794815,7783538.1
2025-08-06,1399.8155998166778,1403.768223634903,1378.895537719122,1385.0654296875,10566934,,,1473.6475824977651,22.411557892710416,-38.60200395375023,-10.248911340641659,-28.35309261310857,8082843.4
2025-08-07,1378.60613953599,1390.1748623852432,1363.3739407112198,1385.2581787109375,9892020,,,1465.2295440418768,22.49029882114081,-40.84081895124655,-9.990181070510381,-30.850637880736166,8310935.45
2025-08-08,1373.785961785155,1381.6912093691872,1366.169861688454,1371.9542236328125,10048009,,,1456.3461801933945,20.912732761999408,-43.19073801305285,-9.872080105853343,-33.31865790719951,8243748.15
2025-08-11,1368.8692198674414,1381.884033692687,1363.1812406590395,1376.870849609375,6625368,,,1448.7771010901547,23.06062297283173,-44.14743106889523,-8.663018529356577,-35.48441253953865,8116345.25
2025-08-12,1376.8709588997938,1389.2109785794498,1369.9297713819558,1372.9183349609375,9899184,,,1441.552456696896,22.53086872628117,-44.709172596637245,-7.379808045678871,-37.329364550958374,8230564.1
2025-08-13,1373.7860181657672,1382.462561438393,1371.279484756972,1375.3284912109375,10318063,,,1435.2454123649,23.682161730252123,-44.44751406314026,-5.694519609745512,-38.75299445339475,8435292.7
2025-08-14,1374.9427475738962,1417.1686356270611,1374.9427475738962,1395.6700439453125,12902347,,,1431.4763296582726,32.764163417293865,-42.113298594403204,-2.6882433128067618,-39.42505528159644,8711669.35
